"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"cc";1;"LOGO";;;
2;"J2";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";1;"OLED2";;;
3;"MXUp1,MXRight1,MXLeft1,MXDn1";"MXOnly-1U-Hotswap";4;"MX-NoLED";;;
4;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
5;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"mullet-pcb-rescue_HRO-TYPE-C-31-M-12-Type-C";;;
6;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
7;"SW1";"SKQG-1155865";1;"SW_Reset";;;
8;"R6,R3";"R_0805_2012Metric";2;"10K";;;
9;"R5,R4";"R_0805_2012Metric";2;"5.1K";;;
10;"R2,R1";"R_0805_2012Metric";2;"22";;;
11;"J1";"JST_EH_S4B-EH_1x04_P2.50mm_Horizontal";1;"OLED1";;;
12;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
13;"D5,D4,D3,D2";"D_0805_2012Metric";4;"D_SOD-123";;;
14;"D1";"SOT-143";1;"PRTR5V0U2X";;;
15;"C7";"C_0805_2012Metric";1;"10uF";;;
16;"C6,C4,C3";"C_0805_2012Metric";3;"0.1uF";;;
17;"C5";"C_0805_2012Metric";1;"1uF";;;
18;"C2,C1";"C_0805_2012Metric";2;"22pF";;;
